value,ET_daily,DOY,Month,year_id,month_id
7.067804302,7.067804302,152,6/1/2019,2019,6
7.122579338,7.122579338,153,6/1/2019,2019,6
4.70361544,4.70361544,154,6/1/2019,2019,6
6.508723024,6.508723024,155,6/1/2019,2019,6
8.774155518,8.774155518,156,6/1/2019,2019,6
7.201893361,7.201893361,157,6/1/2019,2019,6
9.057557609,9.057557609,158,6/1/2019,2019,6
9.025098759,9.025098759,159,6/1/2019,2019,6
6.877385201,6.877385201,160,6/1/2019,2019,6
8.636297598,8.636297598,161,6/1/2019,2019,6
5.55475401,5.55475401,162,6/1/2019,2019,6
7.127788753,7.127788753,163,6/1/2019,2019,6
7.436966961,7.436966961,164,6/1/2019,2019,6
5.860101384,5.860101384,165,6/1/2019,2019,6
6.974778863,6.974778863,166,6/1/2019,2019,6
6.419523141,6.419523141,167,6/1/2019,2019,6
5.980662326,5.980662326,168,6/1/2019,2019,6
3.363006213,3.363006213,169,6/1/2019,2019,6
4.756174578,4.756174578,170,6/1/2019,2019,6
5.369322579,5.369322579,171,6/1/2019,2019,6
3.13383876,3.13383876,172,6/1/2019,2019,6
4.112784422,4.112784422,173,6/1/2019,2019,6
4.920825373,4.920825373,174,6/1/2019,2019,6
6.260994502,6.260994502,175,6/1/2019,2019,6
8.163294594,8.163294594,176,6/1/2019,2019,6
5.743428167,5.743428167,177,6/1/2019,2019,6
10.60563088,10.60563088,182,7/1/2019,2019,7
6.319148189,6.319148189,183,7/1/2019,2019,7
5.832368769,5.832368769,184,7/1/2019,2019,7
7.443344025,7.443344025,185,7/1/2019,2019,7
7.014920786,7.014920786,186,7/1/2019,2019,7
6.21968453,6.21968453,187,7/1/2019,2019,7
7.396911348,7.396911348,188,7/1/2019,2019,7
7.319078073,7.319078073,189,7/1/2019,2019,7
7.06196745,7.06196745,190,7/1/2019,2019,7
7.210208814,7.210208814,191,7/1/2019,2019,7
7.08921493,7.08921493,192,7/1/2019,2019,7
7.840609461,7.840609461,193,7/1/2019,2019,7
5.148582107,5.148582107,194,7/1/2019,2019,7
8.305652231,8.305652231,195,7/1/2019,2019,7
7.837109076,7.837109076,196,7/1/2019,2019,7
6.535070127,6.535070127,197,7/1/2019,2019,7
4.208478744,4.208478744,198,7/1/2019,2019,7
7.784580983,7.784580983,199,7/1/2019,2019,7
8.709305812,8.709305812,200,7/1/2019,2019,7
5.076915423,5.076915423,201,7/1/2019,2019,7
4.062194364,4.062194364,202,7/1/2019,2019,7
6.668022068,6.668022068,203,7/1/2019,2019,7
6.690143159,6.690143159,204,7/1/2019,2019,7
6.534305779,6.534305779,205,7/1/2019,2019,7
5.053110272,5.053110272,206,7/1/2019,2019,7
7.682633587,7.682633587,207,7/1/2019,2019,7
7.553367402,7.553367402,208,7/1/2019,2019,7
5.378509007,5.378509007,209,7/1/2019,2019,7
6.807906161,6.807906161,210,7/1/2019,2019,7
5.756731237,5.756731237,211,7/1/2019,2019,7
3.998725099,3.998725099,212,7/1/2019,2019,7
6.01637814,6.01637814,213,8/1/2019,2019,8
6.050827051,6.050827051,214,8/1/2019,2019,8
6.609203767,6.609203767,215,8/1/2019,2019,8
6.455505792,6.455505792,216,8/1/2019,2019,8
5.803183892,5.803183892,217,8/1/2019,2019,8
6.688644364,6.688644364,218,8/1/2019,2019,8
6.671383946,6.671383946,219,8/1/2019,2019,8
5.780955939,5.780955939,220,8/1/2019,2019,8
5.897985351,5.897985351,221,8/1/2019,2019,8
5.348381509,5.348381509,222,8/1/2019,2019,8
3.353171048,3.353171048,223,8/1/2019,2019,8
3.403747249,3.403747249,224,8/1/2019,2019,8
6.280383031,6.280383031,225,8/1/2019,2019,8
4.020112938,4.020112938,226,8/1/2019,2019,8
4.075407683,4.075407683,227,8/1/2019,2019,8
5.002758588,5.002758588,228,8/1/2019,2019,8
4.210765605,4.210765605,229,8/1/2019,2019,8
4.486958274,4.486958274,230,8/1/2019,2019,8
5.451372763,5.451372763,231,8/1/2019,2019,8
6.032521053,6.032521053,232,8/1/2019,2019,8
2.744654011,2.744654011,233,8/1/2019,2019,8
5.285468002,5.285468002,234,8/1/2019,2019,8
5.114635609,5.114635609,235,8/1/2019,2019,8
4.692890455,4.692890455,236,8/1/2019,2019,8
3.081011652,3.081011652,237,8/1/2019,2019,8
3.02591538,3.02591538,238,8/1/2019,2019,8
5.318481618,5.318481618,239,8/1/2019,2019,8
5.233846678,5.233846678,240,8/1/2019,2019,8
5.299779208,5.299779208,241,8/1/2019,2019,8
4.40721152,4.40721152,242,8/1/2019,2019,8
2.524764791,2.524764791,243,8/1/2019,2019,8
4.248890066,4.248890066,244,9/1/2019,2019,9
4.581146316,4.581146316,245,9/1/2019,2019,9
3.627750416,3.627750416,246,9/1/2019,2019,9
4.622440842,4.622440842,247,9/1/2019,2019,9
4.54172963,4.54172963,248,9/1/2019,2019,9
4.704923819,4.704923819,249,9/1/2019,2019,9
3.144156868,3.144156868,250,9/1/2019,2019,9
2.235523434,2.235523434,251,9/1/2019,2019,9
2.451866172,2.451866172,252,9/1/2019,2019,9
